normalized_file_title_map
file_name,article_name,normalized_title
New PDFs/CANADIAN COMMUNITIES’ GUIDEBOOK FOR ADAPTATION TO CLIMATE CHANGE Including an approach to generate mitigation co-benefits in the context of sustainable development REPORT.pdf,CANADIAN COMMUNITIES’ GUIDEBOOK FOR ADAPTATION TO CLIMATE CHANGE,Canadian Communities’ Guidebook For Adaptation To Climate Change
New PDFs/Handbook_on_Methods_for_Climate_Change_Impact_Assessments and Adaption Strategies.pdf,Handbook on Methods for Climate Change Impact Assessment and Adaptation Strategies,Handbook On Methods For Climate Change Impact Assessment And Adaptation Strategies
New PDFs/Climate Change Adaptation Planning Toolkit for Indigenous Communities APPENDICES.pdf,Climate Change Adaptation Planning Toolkit for Indigenous Communities,Climate Change Adaptation Planning Toolkit For Indigenous Communities
New PDFs/Protect your home from Severe Wind_ICLR_Severe-wind_2018.pdf,Protect Your Home from Severe Wind,Protect Your Home From Severe Wind
New PDFs/Health of Canadians in Changing Climate Report.pdf,Health of Canadians in a Changing Climate,Health Of Canadians In A Changing Climate
New PDFs/The-Pocket-Action-Plan-Report-FINAL.pdf,"A Pocket of Connection – Green, Serene , and Working to Become a Net-Zero  Neighbourhood","A Pocket Of Connection – Green, Serene , And Working To Become A Net-zero Neighbourhood"
New PDFs/K-2-Project of Learning for a sustainable future-Chp2-How does climate change affect our world.pdf,How Does Climate Change Affect Our World - Learning for a Sustainable Future,How Does Climate Change Affect Our World - Learning For A Sustainable Future
New PDFs/IPCC_AR6_SYR_FullVolume_CLIMATE CHANGE 2023_Synthesis Report.pdf,"CLIMATE CHANGE 2023 
Synthesis Report",Climate Change 2023 Synthesis Report
New PDFs/Project of Learning for a sustainable future-Chp5-Indigenous ways of knowing.pdf,Indigenous Ways of Knowing - Learning for a Sustainable Future,Indigenous Ways Of Knowing - Learning For A Sustainable Future
New PDFs/K-7-12 Project of Learning for a sustainable future-Chp1-What is Climate Change-Why Care.pdf,What is Climate Change - Why Care? - Learning for a Sustainable Future,What Is Climate Change - Why Care? - Learning For A Sustainable Future
New PDFs/resilient-neighbourhoods-toolkit-City of Vancouver.pdf,RESILIENT NEIGHBOURHOODS TOOLKIT | INTRODUCTION 1,Resilient Neighbourhoods Toolkit | Introduction 1
New PDFs/IPCC_AR6_WGII_TechnicalSummary.pdf,"Technical Summary of the IPCC Sixth Assessment Report, Working Group II","Technical Summary Of The Ipcc Sixth Assessment Report, Working Group Ii"
New PDFs/Project of Learning for a sustainable future-Chp2-How does climate change affect our world.pdf,How Does Climate Change Affect Our World - Learning for a Sustainable Future,How Does Climate Change Affect Our World - Learning For A Sustainable Future
New PDFs/K-2-Project of Learning for a sustainable future-Chp1-What is Climate Change-Why Care.pdf,What is Climate Change - Why Care? - Learning for a Sustainable Future,What Is Climate Change - Why Care? - Learning For A Sustainable Future
New PDFs/REPORT FOR ACTION Toronto's Climate Change Readiness-Updates oncommitments and a refreshed mandate for coordinating resilience activities.pdf,"REPORT FOR ACTION 
Toronto's Climate Change Readiness: Updates on
commitments and a refreshed mandate for 
coordinating resilience activities",Report For Action Toronto's Climate Change Readiness: Updates On Commitments And A Refreshed Mandate For Coordinating Resilience Activities
New PDFs/TransformTO-Net-Zero-Framework-Technical-Report-Part-3.pdf,TransformTO Net-Zero Framework Technical Report: Part 3,Transform-to Net-zero Framework Technical Report: Part 3
New PDFs/Protect your home from Hail Report.pdf,Hail Smart PROGRAM,Hail Smart Program
New PDFs/TransformTO Net Zero Strategy A climate action Pathway to 2030 and beyond.pdf,TransformTO Net Zero Strategy: A Climate Action Pathway to 2030 and Beyond,Transform-to Net Zero Strategy: A Climate Action Pathway To 2030 And Beyond
New PDFs/National Adaptation Strategy for Canada - Canada.ca.pdf,Canada’s National Adaptation Strategy: Building Resilient Communities and a Strong Economy,Canada’s National Adaptation Strategy: Building Resilient Communities And A Strong Economy
New PDFs/Ontario-Chapter-Regional-Perspectives-Report.pdf,Regional Perspectives Report: Ontario,Regional Perspectives Report: Ontario
New PDFs/protect-your-home-from-basement-flooding.pdf,Basement flooding,Basement Flooding
New PDFs/REPORT FOR ACTION TransformTO Critical Steps for Net Zero by 2040.pdf,TransformTO: Critical Steps for Net Zero by 2040,Transform-to: Critical Steps For Net Zero By 2040
New PDFs/Strengthening-Neighbourhood-Resilience-Opportunities for Communities & Local Government.pdf,Strengthening Neighbourhood Resilience,Strengthening Neighbourhood Resilience
New PDFs/TransformTO-Net-Zero-Framework-Technical-Report-Parts-1-2.pdf,Net Zero Strategy,Net Zero Strategy
New PDFs/mecp-ontario-provincial-climate-change-impact-assessment-en-2023-08-17.pdf,Ontario Provincial Climate Change Impact Assessment Technical Report,Ontario Provincial Climate Change Impact Assessment Technical Report
New PDFs/toronto-first-resilience-strategy.pdf,TORONTO’S FIRST RESILIENCE STRATEGY,Toronto’s First Resilience Strategy
New PDFs/K-2-Project of Learning for a sustainable future-Chp3-How does addressing climate change make us healthier.pdf,K 2 Project of Learning for a sustainable future Chp3 How does addressing climate change make us healthier,K 2 Project Of Learning For A Sustainable Future Chp3 How Does Addressing Climate Change Make Us Healthier
New PDFs/Protect your home from Snow and Ice storms_ICLR_Snow-and-ice-storms_2018.pdf,Protect your home from Snow & ice storms,Protect Your Home From Snow & Ice Storms
New PDFs/K-2-Project of Learning for a sustainable future-Chp4-Its easy being green.pdf,K 2 Project of Learning for a sustainable future Chp4 Its easy being green,K 2 Project Of Learning For A Sustainable Future Chp4 Its Easy Being Green
New PDFs/Rexdale-SNAP-Action-Plan-Executive-Summary-Final-2.pdf,Rexdale Sustainable Neighbourhood Action Plan,Rexdale Sustainable Neighbourhood Action Plan
New PDFs/Protect your home from Earthquakes_ICLR_Earthquakes_2016.pdf,Protect your home from Earthquakes,Protect Your Home From Earthquakes
"New PDFs/THE HEALTH COSTS OF CLIMATE CHANGE HOW CANADA CAN ADAPT, PREPARE, AND SAVE LIVES REPORT 2021.pdf","THE HEALTH COSTS OF CLIMATE CHANGE: How Canada can adapt, prepare, and save lives","The Health Costs Of Climate Change: How Canada Can Adapt, Prepare, And Save Lives"
New PDFs/Protect your home from Extreme Heat Report.pdf,Protect your home from Extreme heat,Protect Your Home From Extreme Heat
New PDFs/Rexdale-SNAP-Action-Plan-Report-11-20-23-FA-2-2.pdf,Rexdale Sustainable Neighbourhood Action Plan,Rexdale Sustainable Neighbourhood Action Plan
PDFs_07_01/IntactCentre_Municipal-Flood-Risk-CheckUp_report_2024.pdf,A FLOOD RISK CHECK-UP FOR CANADIAN MUNICIPALITIES: TACKLING FLOODING TOGETHER,A Flood Risk Check-up For Canadian Municipalities: Tackling Flooding Together
PDFs_07_01/IntactCentre_Wildfire-Ready_2023.pdf,"WILDFIRE-READY 
PRACTICAL GUIDANCE TO STRENGTHEN 
THE RESILIENCE OF CANADIAN HOMES 
AND COMMUNITIES",Wildfire-ready Practical Guidance To Strengthen The Resilience Of Canadian Homes And Communities
PDFs_07_01/Making-Nature-Count-for-Adaptation_AF2023-Report.pdf,"MAKING NATURE COUNT FOR ADAPTATION: Global, national and local action to value services provided by nature","Making Nature Count For Adaptation: Global, National And Local Action To Value Services Provided By Nature"
PDFs_07_01/CSA-Group-Research-Managing-Flooding-and-Erosion-at-the-Watershed-Scale.pdf,Managing Flooding and Erosion at the Watershed-Scale: Guidance to Support Governments Using Nature-Based Solutions,Managing Flooding And Erosion At The Watershed-scale: Guidance To Support Governments Using Nature-based Solutions
PDFs_07_01/UoW_ICCA_2022_10_Nature-on-the-Balance-Sheet.pdf,GETTING NATURE ON THE BALANCE SHEET: RECOGNIZING THE FINANCIAL VALUE PROVIDED BY NATURAL ASSETS IN A CHANGING CLIMATE,Getting Nature On The Balance Sheet: Recognizing The Financial Value Provided By Natural Assets In A Changing Climate
PDFs_07_01/UoW_ICCA_2022_04-Irreversible-Extreme-Heat.pdf,IRREVERSIBLE EXTREME HEAT: PROTECTING CANADIANS AND COMMUNITIES FROM A LETHAL FUTURE,Irreversible Extreme Heat: Protecting Canadians And Communities From A Lethal Future
PDFs_07_01/UoW_ICCA_2022_02-Treading-Water_Flooding-and-Housing-Market.pdf,TREADING WATER: IMPACT OF CATASTROPHIC FLOODING ON CANADA’S HOUSING MARKET,Treading Water: Impact Of Catastrophic Flooding On Canada’s Housing Market
PDFs_07_01/FSC_ConstructionChecklist_FINAL.pdf,"WILDFIRE-RESILIENCE BEST-PRACTICE CHECKLIST FOR HOME CONSTRUCTION, RENOVATION AND LANDSCAPING","Wildfire-resilience Best-practice Checklist For Home Construction, Renovation And Landscaping"
PDFs_07_01/UoW_ICCA_2021_12_Coastal_Protection_Grey_NbS.pdf,COMBINING NATURAL AND GREY INFRASTRUCTURE TO PROTECT CANADA’S EASTERN AND WESTERN COASTAL COMMUNITIES,Combining Natural And Grey Infrastructure To Protect Canada’s Eastern And Western Coastal Communities
PDFs_07_01/16-Cities-Flood-Preparedness-1.pdf,CLIMATE CHANGE AND THE PREPAREDNESS OF 16 MAJOR CANADIAN CITIES TO LIMIT FLOOD RISK,Climate Change And The Preparedness Of 16 Major Canadian Cities To Limit Flood Risk
PDFs_07_01/AlphaCRM.pdf,INSTITUTIONAL INVESTORS FIND ALPHA IN CLIMATE RISK MATRICES: GLOBAL SURVEY FINDS,Institutional Investors Find Alpha In Climate Risk Matrices: Global Survey Finds
PDFs_07_01/UoW-ICCA-Under-One-Umbrella-Report.pdf,UNDER ONE UMBRELLA: PRACTICAL APPROACHES FOR REDUCING FLOOD RISKS IN CANADA,Under One Umbrella: Practical Approaches For Reducing Flood Risks In Canada
PDFs_07_01/Provincial-Territory-Flood-Report.pdf,CANADA’S GRADE ON FLOOD PREPAREDNESS: CLIMATE CHANGE AND THE PREPAREDNESS OF CANADIAN PROVINCES AND TERRITORIES TO LIMIT FLOOD RISK,Canada’s Grade On Flood Preparedness: Climate Change And The Preparedness Of Canadian Provinces And Territories To Limit Flood Risk
PDFs_07_01/Factoring-Climate-Risk-into-Financial-Valuation.pdf,FACTORING CLIMATE RISK INTO FINANCIAL VALUATION,Factoring Climate Risk Into Financial Valuation
PDFs_07_01/Ahead-of-the-Storm-1.pdf,Developing Flood-Resilience Guidance for Canada’s Commercial Real Estate,Developing Flood-resilience Guidance For Canada’s Commercial Real Estate
PDFs_07_01/Home-Flood-Protection-Program-Report-1.pdf,"WATER ON THE RISE:  
PROTECTING CANADIAN HOMES FROM  
THE GROWING THREAT OF FLOODING",Water On The Rise: Protecting Canadian Homes From The Growing Threat Of Flooding
PDFs_07_01/Weathering-the-Storm.pdf,WEATHERING THE STORM: DEVELOPING A CANADIAN STANDARD FOR FLOOD-RESILIENT EXISTING COMMUNITIES,Weathering The Storm: Developing A Canadian Standard For Flood-resilient Existing Communities
PDFs_07_01/Climate-Change-Adaptation-Projects-FINAL.pdf,TOO SMALL TO FAIL: Protecting Canadian Communities from Floods,Too Small To Fail: Protecting Canadian Communities From Floods
PDFs_07_01/IBC_Wetlands-Report-2018_FINAL.pdf,Combatting Canada’s Rising Flood Costs: Natural infrastructure is an underutilized option,Combatting Canada’s Rising Flood Costs: Natural Infrastructure Is An Underutilized Option
PDFs_07_01/After-The-Flood.pdf,After The Flood,After The Flood
PDFs_07_01/HFPP-Interim-Report-Dec-2017-FINAL.pdf,DISASTER RISK REDUCTION APPLIED TO CANADIAN RESIDENTIAL HOUSING: INTERIM REPORT ON THE HOME FLOOD PROTECTION PROGRAM,Disaster Risk Reduction Applied To Canadian Residential Housing: Interim Report On The Home Flood Protection Program
PDFs_07_01/Preventing-Disaster-Before-It-Strikes.pdf,Preventing Disaster Before It Strikes,Preventing Disaster Before It Strikes
PDFs_07_01/When-the-Big-Storms-Hit.pdf,When the Big Storms Hit,When The Big Storms Hit
PDFs_07_01/Intact-Centre-Climate-Change-and-the-Preparedness-of-Canadian-Provinces-and-Yukon-Oct-2016.pdf,Climate Change and the Preparedness of Canadian Provinces and Yukon to Limit Potential Flood Damage,Climate Change And The Preparedness Of Canadian Provinces And Yukon To Limit Potential Flood Damage
PDFs_07_01/CCEMC-Alberta-Adapts-Final-March-31-2016.pdf,ALBERTA ADAPTS TO A CHANGING CLIMATE,Alberta Adapts To A Changing Climate
PDFs_07_01/Equitable Climate Adaptation.pdf,Equitable Climate Adaptation: Considerations for Local Governments,Equitable Climate Adaptation: Considerations For Local Governments
PDFs_07_01/PLANNED RETREAT APPROACHES TO SUPPORT RESILIENCE TO CLIMATE CHANGE IN CANADA.pdf,PLANNED RETREAT APPROACHES TO SUPPORT RESILIENCE TO CLIMATE CHANGE IN CANADA,Planned Retreat Approaches To Support Resilience To Climate Change In Canada
PDFs_07_01/Human Health in a Changing Climate- A Canadian Assessment of Vulnerabilities and Adaptive Capacity.pdf,Human Health in a Changing Climate: A Canadian Assessment of Vulnerabilities and Adaptive Capacity,Human Health In A Changing Climate: A Canadian Assessment Of Vulnerabilities And Adaptive Capacity
PDFs_07_01/INVESTING IN CANADA’S FUTURE- The Cost of Climate Adaptation at the Local Level.pdf,INVESTING IN CANADA’S FUTURE: The Cost of Climate Adaptation at the Local Level,Investing In Canada’s Future: The Cost Of Climate Adaptation At The Local Level
PDFs_07_01/Nature-Based Solutions for Coastal and Riverine Flood and Erosion Risk Management.pdf,Nature-Based Solutions for Coastal and Riverine Flood and Erosion Risk Management,Nature-based Solutions For Coastal And Riverine Flood And Erosion Risk Management
PDFs_07_01/PCIC SCIENCE BRIEF- SHOULD THE RCP 8.5 EMISSIONS SCENARIO REPRESENT BUSINESS AS USUAL.pdf,"PCIC SCIENCE BRIEF:  SHOULD THE RCP 8.5 EMISSIONS 
SCENARIO REPRESENT ""BUSINESS AS USUAL ""?","PCIC Science Brief: Should The Rcp 8.5 Emissions Scenario Represent ""business As Usual “?"
PDFs_07_01/Buying Out the Floodplain Recommendations for Strategic Relocation Programs in Canada.pdf,"Buying Out the Floodplain 
Recommendations for Strategic Relocation Programs in Canada",Buying Out The Floodplain Recommendations For Strategic Relocation Programs In Canada
PDFs_07_01/Climate Change 2021-Summary for All.pdf,Climate Change Summary for All,Climate Change Summary For All
PDFs_07_04_Helena/Coastal flood risk assessment guidelines for building and infrastructure design- supporting flood resilience on Canada's coasts.pdf,Coastal flood risk assessment guidelines for building and infrastructure design: supporting flood resilience on Canada's coasts,Coastal Flood Risk Assessment Guidelines For Building And Infrastructure Design: Supporting Flood Resilience On Canada's Coasts
"PDFs_07_04_Helena/Climate Change Planning at Glencore in Sudbury, Ontario- A Mining Adaptation Case Study.pdf","Climate Change Planning at Glencore in Sudbury, Ontario","Climate Change Planning At Glencore In Sudbury, Ontario"
PDFs_07_04_Helena/Climate Change and Adaptation in the Great Lakes.pdf,Climate Change and Adaptation in the Great Lakes,Climate Change And Adaptation In The Great Lakes
PDFs_07_04_Helena/Climate Change and Water Quality in the Great Lakes Basin.pdf,Climate Change and Water Quality in the Great Lakes Basin,Climate Change And Water Quality In The Great Lakes Basin
PDFs_07_04_Helena/Aquanomics - The economics of water risk and future resiliency.pdf,The economics of water risk and future resilience,The Economics Of Water Risk And Future Resilience
PDFs_07_04_Helena/Costing Climate Change Impacts to Public Infrastructure- Summary Report .pdf,Costing Climate Change Impacts to Public Infrastructure,Costing Climate Change Impacts To Public Infrastructure
PDFs_07_04_Helena/Agri-Tech Innovation Initiative.pdf,Agri-Tech Innovation Initiative Guidelines,Agri-tech Innovation Initiative Guidelines
PDFs_07_04_Helena/Costing Climate Change Impacts to Public Infrastructure- Linear Storm and Wastewater.pdf,Costing Climate Change Impacts to Public Infrastructure,Costing Climate Change Impacts To Public Infrastructure
PDFs_07_04_Helena/Achieving net-zero greenhouse gas emissions by 2050 in Canada.pdf,Impacts of climate change on Canada’s electricity system,Impacts Of Climate Change On Canada’s Electricity System
PDFs_07_04_Helena/City of Ottawa 2022 Annual Report.pdf,City of Ottawa 2022 Annual Report,City Of Ottawa 2022 Annual Report
PDFs_07_04_Helena/Assess the potential for a home energy upgrade program in your community.pdf,Assess the potential for a home energy upgrade program in your community,Assess The Potential For A Home Energy Upgrade Program In Your Community
PDFs_07_04_Helena/Damage Control- Reducing the costs of climate impacts in Canada.pdf,DAMAGE CONTROL: Reducing the costs of climate impacts in Canada,Damage Control: Reducing The Costs Of Climate Impacts In Canada
PDFs_07_04_Helena/Adaptation - Climate Caucus Handbook.pdf,Climate Caucus Handbook on Adaptation,Climate Caucus Handbook On Adaptation
PDFs_07_04_Helena/Equity and Climate Lenses – A Guide to Application.pdf,A Guide to ApplicationEquity and Climate Lenses,A Guide To Application-equity And Climate Lenses
PDFs_07_04_Helena/Developing Responsive Indicators of Indigenous Community Health.pdf,Developing Responsive Indicators of Indigenous Community Health,Developing Responsive Indicators Of Indigenous Community Health
PDFs_07_04_Helena/Decolonizing Climate Policy in Canada Report from Phase One.pdf,Decolonizing Climate Policy in Canada,Decolonizing Climate Policy In Canada
PDFs_07_04_Helena/Climate Change- Meeting the Challenge.pdf,Climate Change: Meeting the Challenge,Climate Change: Meeting The Challenge
PDFs_07_04_Helena/Climate Accountability Toolkit- A Roadmap for Municipalities.pdf,Climate Accountability Toolkit: A Roadmap for Municipalities,Climate Accountability Toolkit: A Roadmap For Municipalities
PDFs_07_04_Helena/Developing Levels of Service for Natural Assets A Guidebook for Local Governments.pdf,Developing Levels of Service for Natural Assets,Developing Levels Of Service For Natural Assets
PDFs_07_04_Helena/Advancing Municipal Natural Asset Management through Infrastructure Funding Opportunities – Decision-Maker Summary.pdf,ADVANCING MUNICIPAL NATURAL ASSET MANAGEMENT THROUGH INFRASTRUCTURE FUNDING OPPORTUNITIES,Advancing Municipal Natural Asset Management Through Infrastructure Funding Opportunities
PDFs_07_04_Helena/Cities adapt to extreme heat celebrating local leadership.pdf,Cities Adapt to Extreme Heat: Celebrating Local Leadership,Cities Adapt To Extreme Heat: Celebrating Local Leadership
PDFs_07_04_Helena/Cities adapt to extreme rainfall celebrating local leadership.pdf,CITIES ADAPT TO EXTREME RAINFALL,Cities Adapt To Extreme Rainfall
PDFs_07_04_Helena/Adapting to climate change- an introduction for Canadian municipalities.pdf,Adapting to Climate Change: An Introduction for Canadian Municipalities,Adapting To Climate Change: An Introduction For Canadian Municipalities
PDFs_07_04_Helena/Climate Change in the Great Lakes Basin- Summary of trends and Impacts.pdf,CLIMATE CHANGE IN THE GREAT LAKES BASIN: SUMMARY OF TRENDS AND IMPACTS,Climate Change In The Great Lakes Basin: Summary Of Trends And Impacts
PDFs_07_04_Helena/Climate-ready tourism.pdf,CLIMATE-READY TOURISM,Climate-ready Tourism
PDFs_07_04_Helena/Climate Change Adaptation Quick Guide.pdf,Climate Change Adaptation Quick Guide,Climate Change Adaptation Quick Guide
PDFs_07_04_Helena/Adaptation Framework by Up North Climate.pdf,Adaptation Framework for Up North Climate,Adaptation Framework For Up North Climate
PDFs_07_04_Helena/Aligning Local Government Climate Action with UNDRIP.pdf,Aligning Local Government Climate Action with UNDRIP,Aligning Local Government Climate Action With Undrip
PDFs_07_04_Helena/Adaptation Strategies for Reducing Extreme Heat Health Impacts- A Rapid Review.pdf,Adaptation Strategies for Reducing Extreme Heat Health Impacts: A Rapid Review,Adaptation Strategies For Reducing Extreme Heat Health Impacts: A Rapid Review
PDFs_07_04_Helena/Communicating the Health Risks of Extreme Heat Events- Toolkit for Public Health and Emergency Management Officials.pdf,Communicating the Health Risks of Extreme Heat Events: Toolkit for Public Health and Emergency Management Officials,Communicating The Health Risks Of Extreme Heat Events: Toolkit For Public Health And Emergency Management Officials
PDFs_07_04_Helena/Adapting to Extreme Heat - Prespectives from Rural Southwestern Ontario.pdf,Adapting to extreme heat – perspectives from rural Southwestern Ontario,Adapting To Extreme Heat – Perspectives From Rural Southwestern Ontario
PDFs_07_04_Helena/Community cooling centres guide.pdf,Resilient Rurals2022 COMMUNITY COOLING CENTRES GUIDE,Resilient Rurals2022 Community Cooling Centres Guide
PDFs_08_Diego/oxford_open_climate_change/kgad008.pdf,Global warming in the pipeline,Global Warming In The Pipeline
PDFs_08_Diego/oxford_open_climate_change/kgae014.pdf,Addressing the Urgent Need for Direct Climate Cooling: Rationale and Options,Addressing The Urgent Need For Direct Climate Cooling: Rationale And Options
PDFs_08_Diego/oxford_open_climate_change/kgab013.pdf,Everyday limits to adaptation,Everyday Limits To Adaptation
PDFs_08_Diego/oxford_open_climate_change/kgab005.pdf,Climate change adaptation to extreme heat: a global systematic review of implemented action,Climate Change Adaptation To Extreme Heat: A Global Systematic Review Of Implemented Action
PDFs_08_Diego/oxford_open_climate_change/kgac003.pdf,Net economic benefits of well-below 2/C14C scenarios and associated uncertainties,Net Economic Benefits Of Well-below 2/c14c Scenarios And Associated Uncertainties
PDFs_08_Diego/oxford_open_climate_change/kgad002.pdf,"Solar radiation modification is risky, but so is rejecting it: a call for balanced research","Solar Radiation Modification Is Risky, But So Is Rejecting It: A Call For Balanced Research"
PDFs_08_Diego/oxford_open_climate_change/kgab001.pdf,Rationale and remit of Oxford Open Climate Change,Rationale And Remit Of Oxford Open Climate Change
PDFs_08_Diego/oxford_open_climate_change/kgac007.pdf,Knowing behavior matters doesn’t hurt: the effect of individual climate behavior messaging on green policy support,Knowing Behavior Matters Doesn’t Hurt: The Effect Of Individual Climate Behavior Messaging On Green Policy Support
PDFs_08_Diego/oxford_open_climate_change/kgae015.pdf,"Pro-environmental behavior: the relationship with information literacy self-efficacy, climate knowledge and climate anxiety among students in Ghana","Pro-environmental Behavior: The Relationship With Information Literacy Self-efficacy, Climate Knowledge And Climate Anxiety Among Students In Ghana"
PDFs_08_Diego/oxford_open_climate_change/kgab006.pdf,Enhancing natural cycles in agro-ecosystems to boost plant carbon capture and soil storage,Enhancing Natural Cycles In Agro-ecosystems To Boost Plant Carbon Capture And Soil Storage
PDFs_08_Diego/oxford_open_climate_change/kgad011.pdf,Social media messaging by climate action NGOs: a case study of the 2019–2020 Australian Black Summer bushfires,Social Media Messaging By Climate Action Ngos: A Case Study Of The 2019–2020 Australian Black Summer Bushfires
PDFs_08_Diego/oxford_open_climate_change/kgad005.pdf,The Paradox Test in Climate Litigation,The Paradox Test In Climate Litigation
PDFs_08_Diego/oxford_open_climate_change/kgab012.pdf,The role of felt responsibility in climate change political participation,The Role Of Felt Responsibility In Climate Change Political Participation
PDFs_08_Diego/oxford_open_climate_change/kgae006.pdf,"Divergences between mainstream and social media discourses after COP26, and why they matter","Divergences Between Mainstream And Social Media Discourses After Cop26, And Why They Matter"
PDFs_08_Diego/oxford_open_climate_change/kgab008.pdf,"Call for emergency action to limit global temperature increases, restore biodiversity and protect health","Call For Emergency Action To Limit Global Temperature Increases, Restore Biodiversity And Protect Health"
PDFs_08_Diego/oxford_open_climate_change/kgae013.pdf,Pathways versus incentives: climate activism to climate aligned portfolio management,Pathways Versus Incentives: Climate Activism To Climate Aligned Portfolio Management
PDFs_08_Diego/oxford_open_climate_change/kgab003.pdf,Examining climate change and sustainable/fast fashion in the 21st century: ‘Trash the Runway’,Examining Climate Change And Sustainable/fast Fashion In The 21st Century: ‘trash The Runway’
PDFs_08_Diego/oxford_open_climate_change/kgad001.pdf,The potential role of descriptive and dynamic norms in promoting climate change advocacy,The Potential Role Of Descriptive And Dynamic Norms In Promoting Climate Change Advocacy
